AGENCY,MI,ETHNICITY,GENDER,RATE,HRSWKD,MONTHLY,ANNUAL
529, ,HISPANIC,MALE,0.0,40.0,3139.75,37677.0
455,J,WHITE,FEMALE,0.0,40.0,7827.4,93928.8
320, ,WHITE,FEMALE,0.0,40.0,6793.54,81522.48
530,D,BLACK,FEMALE,0.0,40.0,5566.89,66802.68
405,A,HISPANIC,MALE,0.0,40.0,8334.75,100017.0
530, ,BLACK,FEMALE,0.0,40.0,4448.31,53379.72
460,Z,WHITE,MALE,0.0,40.0,11864.16,142369.92
405,M,WHITE,MALE,0.0,40.0,7828.08,93936.96
304,R,WHITE,FEMALE,0.0,40.0,7653.16,91837.92
582,M,WHITE,FEMALE,0.0,40.0,5370.0,64440.0
696,C,WHITE,MALE,0.0,40.0,4621.85,55462.2
696,L,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
320, ,WHITE,MALE,0.0,40.0,16537.5,198450.0
696,J,WHITE,FEMALE,0.0,40.0,4407.84,52894.08
601,G,WHITE,MALE,0.0,40.0,11375.0,136500.0
582,G,HISPANIC,MALE,0.0,40.0,5719.0,68628.0
529,A,WHITE,FEMALE,0.0,40.0,7253.79,87045.48
320, ,WHITE,MALE,0.0,40.0,5259.54,63114.48
601, ,HISPANIC,FEMALE,0.0,40.0,9675.75,116109.0
452,S,WHITE,FEMALE,0.0,40.0,5104.17,61250.04
529,J,WHITE,FEMALE,0.0,40.0,4020.33,48243.96
304,J,BLACK,FEMALE,0.0,40.0,5517.68,66212.16
537,C,WHITE,MALE,0.0,40.0,4523.16,54277.92
529,R,BLACK,FEMALE,0.0,40.0,6559.87,78718.44
458,A,HISPANIC,FEMALE,0.0,40.0,8006.66,96079.92
696,P,HISPANIC,MALE,0.0,40.0,3675.93,44111.16
696,E,WHITE,FEMALE,0.0,40.0,2838.7,34064.4
530,L,HISPANIC,FEMALE,0.0,40.0,4789.19,57470.28
696,D,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
529,D,WHITE,FEMALE,0.0,40.0,7474.4,89692.8
530,M,BLACK,FEMALE,0.0,40.0,3741.11,44893.32
537, ,HISPANIC,FEMALE,0.0,40.0,7261.8,87141.6
696,L,BLACK,FEMALE,0.0,40.0,4882.44,58589.28
405,R,WHITE,MALE,0.0,40.0,8919.83,107037.96
601,M,WHITE,FEMALE,0.0,40.0,4717.7,56612.4
